unique_day,source_file,file_name,date_time_original,unique_id,nest,classification,camera_start,camera_stop,cohort,camera,date
2018:10:21_1A_N1,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N1,N1,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:10:21_1A_N2,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N2,N2,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:10:21_1A_N3,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N3,N3,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:10:21_1A_N4,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N4,N4,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:10:21_1A_N5,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N5,N5,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:10:21_1A_N6,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N6,N6,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:10:21_1A_N7,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N7,N7,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:10:21_1A_N8,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20 _Salvins_1A.JPG,2018:10:21 18:02:20,2019_1A_N8,N8,E,2018-10-21,2019-04-29,2019,1A,2018:10:21
2018:11:07_1A_N1,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:11:07 13:45:06 _Salvins_1A.JPG,2018:11:07 13:45:06 _Salvins_1A.JPG,2018:11:07 13:45:06,2019_1A_N1,N1,C,2018-10-21,2019-04-29,2019,1A,2018:11:07
2018:11:13_1A_N1,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:11:13 14:45:07 _Salvins_1A.JPG,2018:11:13 14:45:07 _Salvins_1A.JPG,2018:11:13 14:45:07,2019_1A_N1,N1,C,2018-10-21,2019-04-29,2019,1A,2018:11:13
2018:11:13_1A_N3,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:11:13 14:45:07 _Salvins_1A.JPG,2018:11:13 14:45:07 _Salvins_1A.JPG,2018:11:13 14:45:07,2019_1A_N3,N3,C,2018-10-21,2019-04-29,2019,1A,2018:11:13
2018:11:15_1A_N3,/Volumes/Team Toroa/Albatross_Camera_Traps/Tagged_Images/Salvins/Nest_Survival/2019_Salvin's_Bounties/100MEDIA 1A/2018:11:15 15:45:06 _Salvins_1A.JPG,2018:11:15 15:45:06 _Salvins_1A.JPG,2018:11:15 15:45:06,2019_1A_N3,N3,C,2018-10-21,2019-04-29,2019,1A,2018:11:15
